number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,state
90,-1.4236286479477638,2025-11-12 11:05:02.871794,2025-11-12 11:05:02.877807,0 days 00:00:00.006013,20.62594068571696,0.2705458997587686,0.01795796225269204,rbf,COMPLETE
91,-0.4244908475417667,2025-11-12 11:05:02.878068,2025-11-12 11:05:02.883305,0 days 00:00:00.005237,6.308751301705388,0.13717462359156085,0.003620330497105836,rbf,COMPLETE
92,-0.3269430920676791,2025-11-12 11:05:02.883579,2025-11-12 11:05:02.888745,0 days 00:00:00.005166,15.990608406449777,0.1868259828209208,0.0030026814280512833,rbf,COMPLETE
93,-6.6241957687222355,2025-11-12 11:05:02.889027,2025-11-12 11:05:02.894524,0 days 00:00:00.005497,0.010381902110866282,0.1951265610352726,0.004577370808209277,rbf,COMPLETE
94,-0.5748606222074623,2025-11-12 11:05:02.894949,2025-11-12 11:05:02.900201,0 days 00:00:00.005252,14.792534025093513,0.2749303934713933,0.007696405081962954,rbf,COMPLETE
95,-0.3186354067740683,2025-11-12 11:05:02.900478,2025-11-12 11:05:02.906264,0 days 00:00:00.005786,27.008974802734944,0.19761510449942585,0.003114374957203654,rbf,COMPLETE
96,-0.3543326709928155,2025-11-12 11:05:02.906530,2025-11-12 11:05:02.912647,0 days 00:00:00.006117,24.932216629996724,0.14727909691441177,0.0030047120566243975,rbf,COMPLETE
97,-0.5002930691178955,2025-11-12 11:05:02.912916,2025-11-12 11:05:02.919181,0 days 00:00:00.006265,16.82797606498723,0.13617463240197575,0.005633534270430985,rbf,COMPLETE
98,-0.3495190667377721,2025-11-12 11:05:02.919443,2025-11-12 11:05:02.924473,0 days 00:00:00.005030,11.569828985977747,0.19035598110123453,0.0028426957012508145,rbf,COMPLETE
99,-0.39520763548922727,2025-11-12 11:05:02.924704,2025-11-12 11:05:02.929503,0 days 00:00:00.004799,7.509577777506341,0.2014817430563398,0.002983952181292581,rbf,COMPLETE
